0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:18 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:18 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:20 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=sinh HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:28 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:28 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:26:28 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:05 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:05 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:05 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:08 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:08 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:08 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:10 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=hoa HTTP/1.1" 200 2681
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:12 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 4160
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:12 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:14 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=toan HTTP/1.1" 200 3051
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:14 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:15 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=sinh HTTP/1.1" 200 2681
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:18 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 4160
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:18 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:44 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=tin HTTP/1.1" 200 3290
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:44 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:51 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:51 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:51 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:55 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=toan HTTP/1.1" 200 2181
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:27:55 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:28:00 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:28:00 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:28:00 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:28:02 +0700] "GET /JavaNangCaoNhom4/sach.jsp?ml=sinh HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:28:05 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4871
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:28:05 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:28:05 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:31:55 +0700] "GET /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4891
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:31:55 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:31:55 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:31:57 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=tin HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:31:57 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:31:59 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=hoa HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:00 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=toan HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:00 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:02 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=sinh HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:04 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=tin HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:04 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:07 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=hoa HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:09 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=toan HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:09 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:11 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=sinh HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:13 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=tin HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:13 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:14 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=hoa HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:15 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=toan HTTP/1.1" 200 3071
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:15 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:17 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=sinh HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:18 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=hoa HTTP/1.1" 200 2701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:19 +0700] "GET /JavaNangCaoNhom4/sachserverlet?ml=tin HTTP/1.1" 200 4180
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:19 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:23 +0700] "POST /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2515
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:32:23 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:33:41 +0700] "POST /JavaNangCaoNhom4/sach.jsp HTTP/1.1" 200 2520
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:33:41 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:33:41 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:33:43 +0700] "POST /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 4896
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:33:43 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:33:43 +0700] "GET /JavaNangCaoNhom4/mua.jpg HTTP/1.1" 404 701
0:0:0:0:0:0:0:1 - - [19/Oct/2022:15:33:49 +0700] "POST /JavaNangCaoNhom4/sachserverlet HTTP/1.1" 200 3410
